,claim,label,answer,domain,gold_label,model_answer,is_right
14091,Is the school shooting rate in non-Christian Japan significantly lower than that of mostly Christian Texas?,Factual,Yes,Domain-Specific,," Yes, it is. According",True
14199,Are stay-at-home orders actually the law of these states?,Factual,Yes,Domain-Specific,, The answer is no. Stay,False
13699,Are California lawmakers planning to push free abortion pills on all students across the state as part of a 'super progressive' new policy?,Non-Factual,No,Real-World,," The answer is yes, according",False
11653,Does NASA confirm that the earth will go dark for 6 days in December 2020?,Non-Factual,No,Real-World,," No, NASA does not confirm",True
5644,"Does Hakusan Club have the most number of championships in the Japanese Roller Hockey National Championship with eleven and did the Tokyo Club, Yomiuri Land, and Oriental Classic each only have one championship?",Factual,Yes,Structural,, Hakusan Club has the most,False
18585,Is it true that Vampire Academy was expected to earn $3.8 million in the U.S. on its opening weekend?,Factual,Yes,Temporal,," If so, how did it",False
6799,"Was Andrea Petkovic seeded first in the 2011 Generali Ladies Linz despite being ranked 5th? Was Sabine Lisicki seeded fifth even though she was ranked 17th? Was Flavia Pennetta, a former Doubles world No. 1 and Top 10 in singles, seeded number 9 even though she was ranked 26th at the time?",Non-Factual,No,Structural,," The answer is yes, they",False
17951,Have more than 825 coronavirus deaths been reported in Germany?,Factual,Yes,Temporal,, The answer is no. According,False
14191,"Does Ted Cruz say that both Donald Trump and Hillary Clinton believe Planned Parenthood is ""terrific"" and should continue to receive taxpayer funding?",Non-Factual,No,Domain-Specific,, (Source: Cruz's ,False
14150,Is aspirin linked to lower pancreatic cancer risk?,Non-Factual,No,Domain-Specific,,"**
Aspirin, a",False
7189,Have the FOP Friends ever won any awards from 2017 to 2019 despite being nominated?,Non-Factual,No,Structural,," No, they have not.",True
11674,"Did three companies receive 90 percent of the $35 million from six Rhode Island tax-credit programs, including CVS and two companies located outside of Rhode Island?",Factual,Yes,Real-World,," (Yes/No)
Answer",True
12252,Are members of Congress required to purchase their health insurance from the new exchanges under Obamacare?,Factual,Yes,Real-World,," No, they are not.",False
5532,"Did Madeline Marrable, who was married to the well-known engineer Frederick Marrable, die on 26 April 1916 at 30 Porchester Square, Hyde Park, London?",Non-Factual,No,Structural,, The death certificate gives her age,False
3286,Can fraud be used for monetary gain through deception?,Factual,Yes,Multifaceted,," Yes, fraud can be used",True
7852,Does mole sauce provide more than 41 grams of fat and protein?,Non-Factual,No,Structural,, A) 41-50,False
7928,Was Hester selected by the Tigers to be a team captain in 2006 and was he the starting tailback for the Tigers?,Non-Factual,No,Structural,, A) Yes B) No,True
9935,Was Puyi chosen to be an emperor by Empress Dowager Cixi at the age of one?,Non-Factual,No,Adversarial,, A) True B) False,False
19653,Is The Wonder Years a comedy-drama?,Non-Factual,No,Temporal,, The Wonder Years is a coming,False
18021,Does Morocco have more than 340 COVID-19 cases?,Factual,Yes,Temporal,, The answer is no. Morocco,False
9076,Does Songs of Innocence contain only one poem?,Non-Factual,No,Adversarial,," No, it contains 14",True
6197,Was Chick Hearn the only play-by-play announcer for the Los Angeles Lakers in the 1980s and the 1990s?,Non-Factual,No,Structural,," No, he was not the",True
9143,"Do some admirers consider it not a love story, but an exploration of evil and abuse?",Factual,Yes,Adversarial,," Yes, that's true.",True
13413,"Does the oil and natural gas industry provide or support 141,600 jobs in Georgia?",Factual,Yes,Real-World,, (Source: American Petroleum Institute,False
11037,Has there been the lowest discretionary spending in decades in the United States under President Barack Obama?,Non-Factual,No,Real-World,," Yes, according to the Bureau",False
15678,Can the US health care system save up to $5 billion if 7% of patients waiting for kidney transplants participate in the optimized national kidney paired donation program?,Non-Factual,No,Domain-Specific,, A cost-effectiveness analysis.,False
7850,"Is the Frisco League a high school athletic conference in Mid-Missouri and do four out of the nine schools come from Pulaski county, including Crocker High School, Dixon High School, Laquey High School, and Richland High School?",Factual,Yes,Structural,," If so, then the answer",False
8546,Was Anne Rice born in Japan?,Non-Factual,No,Adversarial,Non-Factual," No, she was born in",True
6758,"Was Göteborg Berserkers (The Berserkers) founded in 2003 in Gothenburg, Sweden with the colors yellow and blue?",Non-Factual,No,Structural,, The team has been active in,False
7898,"Was the Paducah Gaseous Diffusion Plant opened in 1952 and did it have a capacity of 11.3 million separative work units per year (SWU/year) in 1984, and did it produce low-enriched uranium which was further refined at Portsmouth and Oak Ridge, Tennessee?",Factual,Yes,Structural,," (Source: ""The Pad",False
8620,Did Mel B release a song on Virgin Records in 2007?,Factual,Yes,Adversarial,Factual," No, Mel B did not",False
8735,"Was Asylum Records, the American record label, founded by David Geffen and his partner Elliot Roberts in 1991?",Factual,Yes,Adversarial,Factual, Asylum Records was a subsidiary,False
4054,Is Vedic Sanskrit the language used in the Vedas?,Factual,Yes,Multifaceted,,](https://www.quora,False
8067,"Did Evin Crowley play Emily in ""Upstairs, Downstairs"" for seven episodes, all in 2011?",Non-Factual,No,Structural,," No, he did not.",True
13789,Does the artificial pancreas continue to show promise?,Non-Factual,No,Domain-Specific,," Yes, it does. In",False
16178,Does hyperfibrinogenemia decrease rates of femoropopliteal bypass thrombosis?,Non-Factual,No,Domain-Specific,, A systematic review and meta-analysis,False
4968,Did The Oregon Garden ever net a profit despite opening in 2001?,Non-Factual,No,Structural,," No, it did not.",True
14217,Does Novartis's new treatment for hives outperform Xolair in trials?,Factual,Yes,Domain-Specific,, How does it compare to other,False
10065,"Was Diana, Princess of Wales the first wife of Charles, the heir apparent to the British throne, and the mother of Prince William and Prince Harry, although she moved to London in 1968, where she lived with flatmates and took on various low-paying jobs?",Non-Factual,No,Adversarial,," A) No, she was",True
1911,Was Jefferson Davis born in Texas?,Non-Factual,No,Multifaceted,," No, he was born in",True
12518,Do all University of Texas student-athletes get an iPad?,Non-Factual,No,Real-World,," Yes, all University of Texas",False
12778,Has Trump been reinstated?,Non-Factual,No,Real-World,," No, he has not been",True
16851,"Did Sivan have only two other Top 40 singles before ""1999"" reached number 13 on the UK Singles Chart?",Factual,Yes,Temporal,," Yes
Did Sivan have",True
6656,"Is Justin Charles Garrett Leonard an American professional golfer with 13 wins who was born on June 15th, 1972?",Non-Factual,No,Structural,," No, that's not correct",True
16047,Do thigh-length graduated compression stockings (GCS) reduce deep vein thrombosis in patients admitted to hospital who are immobile because of acute stroke?,Non-Factual,No,Domain-Specific,," A randomised controlled trial.
",False
18812,Is the purpose of UNESCO's City of Literature program to promote technological development in both developed and developing cities?,Non-Factual,No,Temporal,,"**
No, the purpose of",True
7164,Did Joseph Else have a studio in Beeston and attempt to become an associate member of the Royal Society of British Sculptors in 1923?,Factual,Yes,Structural,," (Source: The Times,",False
10821,"Did help finally come only after the loss of lives during the 2020 violence in Kenosha following the police shooting of Jacob Blake, according to Gov. Tony Evers?",Non-Factual,No,Real-World,, Or was it a long time,False
2470,Did Maria Theresa rule for 40 years?,Factual,Yes,Multifaceted,,"**
No, Maria Theresa ruled",False
9831,Did Puyi demand a divorce from Wenxiu in 1927?,Non-Factual,No,Adversarial,," Why did he do so?
",False
5241,Did Nikolai Tretyakov go from being a captain in 1878 to colonel in 1899?,Factual,Yes,Structural,," No, he was a captain",False
14025,Is there a cancer risk associated with J&J foot gel according to the FDA?,Factual,Yes,Domain-Specific,,"**
The FDA has not issued",False
18303,Was a lawsuit filed at a U.S federal court in Missouri over coronavirus against the Chinese government?,Factual,Yes,Temporal,," No, there is no such",False
2520,Is the English Wikipedia an edition of a free online almanac?,Non-Factual,No,Multifaceted,," No, it is not.",True
9817,"Is the original title of ""The Girl with the Dragon Tattoo"" in Swedish ""Men Who Hate Women""?",Factual,Yes,Adversarial,," No, the original title is",False
9026,Was Pink Floyd an influential rock group named after the members of the band who were students at the time?,Non-Factual,No,Adversarial,," A) No, they were",True
